,AgentNumber,PolicyNo,CUT_OFF,Applied Premium Date,Issued Date,Premium Collected,Receive Policy date,Freelook,FYC,RYC,Final_FYC,Final_RYC,Total_Commision,FYC/RYC,Status,Final_Result,KyTinhToan,KyKhoaSo,KyThanhToan
1697,60013581,80025339,20240126,2024-01-17,2018-06-26,2587000.0,2018-07-08,2029.0,0.0,26000.0,0.0,26000.0,26000.0,RYC,5,5,20240126,20240126,20240126
1698,60013734,80018466,20240126,2024-01-18,2017-12-21,10000000.0,2017-12-25,2224.0,0.0,100000.0,0.0,100000.0,100000.0,RYC,5,5,20240126,20240126,20240126
1699,60013734,80018467,20240126,2024-01-18,2017-12-21,5708000.0,2017-12-25,2224.0,8000.0,49000.0,8000.0,49000.0,57000.0,FYC,5,5,20240126,20240126,20240126
1701,60013734,80018470,20240126,2024-01-18,2017-12-21,5000000.0,2017-12-25,2224.0,0.0,50000.0,0.0,50000.0,50000.0,RYC,5,5,20240126,20240126,20240126
1702,60013734,80072228,20240126,2024-01-20,2021-02-08,300000.0,2021-02-21,1070.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240126,20240126,20240126
1706,60013734,80072457,20240126,2024-01-25,2021-01-26,300000.0,2021-02-21,1070.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240126,20240126,20240126
1709,60013734,80072458,20240126,2024-01-25,2021-01-26,313000.0,2021-02-21,1070.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240126,20240126,20240126
1712,60013742,80013487,20240126,2024-01-19,2017-07-20,1732000.0,2017-07-25,2377.0,0.0,22000.0,0.0,22000.0,22000.0,RYC,5,5,20240126,20240126,20240126
1716,60013742,80013487,20240126,2024-01-22,2017-07-20,1268000.0,2017-07-25,2377.0,0.0,13000.0,0.0,13000.0,13000.0,RYC,5,5,20240126,20240126,20240126
1720,60013743,80023570,20240126,2024-01-19,2018-05-22,5275000.0,2018-05-25,2073.0,7000.0,45000.0,7000.0,45000.0,52000.0,FYC,5,5,20240126,20240126,20240126
1722,60013855,80046463,20240115,2024-01-09,2019-07-08,4900000.0,2019-07-12,1649.0,0.0,201000.0,0.0,201000.0,201000.0,RYC,5,5,20240115,20240115,20240115
1725,60013855,80046463,20240115,2024-01-11,2019-07-08,1564000.0,2019-07-12,1649.0,0.0,31000.0,0.0,31000.0,31000.0,RYC,5,5,20240115,20240115,20240115
1728,60013928,80023778,20240115,2024-01-02,2018-05-23,962000.0,2018-05-31,2056.0,0.0,10000.0,0.0,10000.0,10000.0,RYC,5,5,20240115,20240115,20240115
1729,60013930,80017635,20240126,2024-01-18,2017-11-27,6986000.0,2017-12-09,2240.0,0.0,79000.0,0.0,79000.0,79000.0,RYC,5,5,20240126,20240126,20240126
1732,60013970,80019685,20240126,2024-01-20,2018-01-25,802000.0,2018-02-04,2183.0,0.0,8000.0,0.0,8000.0,8000.0,RYC,5,5,20240126,20240126,20240126
1733,60014027,80032621,20240115,2024-01-08,2018-11-12,5769000.0,2018-11-18,1885.0,0.0,58000.0,0.0,58000.0,58000.0,RYC,5,5,20240115,20240115,20240115
1735,60014027,80032621,20240115,2024-01-11,2018-11-12,3675000.0,2018-11-18,1885.0,0.0,37000.0,0.0,37000.0,37000.0,RYC,5,5,20240115,20240115,20240115
1737,60014027,80071869,20240115,2024-01-11,2021-01-11,4260000.0,2021-01-15,1096.0,0.0,256000.0,0.0,256000.0,256000.0,RYC,5,5,20240115,20240115,20240115
1741,60014027,80088778,20240115,2024-01-15,2021-07-31,6180000.0,2021-08-03,896.0,0.0,398000.0,0.0,398000.0,398000.0,RYC,5,5,20240115,20240115,20240115
1751,60014044,80037627,20240126,2024-01-23,2019-01-25,4000000.0,2019-02-12,1810.0,0.0,40000.0,0,0,00,RYC,4,4,20240126,20240126,
1753,60014044,80037627,20240126,2024-01-24,2019-01-25,2974000.0,2019-02-12,1810.0,0.0,30000.0,0,0,00,RYC,4,4,20240126,20240126,
1755,60014049,80024647,20240115,2024-01-15,2018-06-13,500000.0,2018-06-20,2036.0,0.0,5000.0,0.0,5000.0,5000.0,RYC,5,5,20240115,20240115,20240115
1756,60014094,80025735,20240126,2024-01-26,2018-06-28,4308000.0,2018-07-07,2030.0,0.0,43000.0,0.0,43000.0,43000.0,RYC,5,5,20240126,20240126,20240126
1757,60014094,80101881,20240126,2024-01-22,2022-01-17,8010000.0,2022-01-21,736.0,0.0,591000.0,0.0,591000.0,591000.0,RYC,5,5,20240126,20240126,20240126
1761,60014118,80024905,20240115,2024-01-09,2018-06-21,1000000.0,2018-06-27,2029.0,0.0,10000.0,0.0,10000.0,10000.0,RYC,5,5,20240115,20240115,20240115
1762,60014232,80023584,20240115,2024-01-15,2018-05-21,4484000.0,2018-05-25,2062.0,0.0,49000.0,0.0,49000.0,49000.0,RYC,5,5,20240115,20240115,20240115
1765,60014232,80026926,20240115,2024-01-15,2018-07-26,3162000.0,2018-08-04,1991.0,0.0,32000.0,0.0,32000.0,32000.0,RYC,5,5,20240115,20240115,20240115
1766,60014232,80026926,20240126,2024-01-16,2018-07-26,1888000.0,2018-08-04,2002.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240126,20240126,20240126
1767,60014386,80126105,20240126,2024-01-19,2022-11-24,6170000.0,2022-11-28,425.0,0.0,583000.0,0.0,583000.0,583000.0,RYC,5,5,20240126,20240126,20240126
1772,60014401,80018069,20240115,2024-01-09,2017-12-08,5925000.0,2017-12-17,2221.0,0.0,70000.0,0.0,70000.0,70000.0,RYC,5,5,20240115,20240115,20240115
1776,60014401,80018069,20240115,2024-01-11,2017-12-08,1855000.0,2017-12-17,2221.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240115,20240115,20240115
1780,60014401,80018083,20240115,2024-01-09,2017-12-11,8282000.0,2017-12-17,2221.0,0.0,88000.0,0.0,88000.0,88000.0,RYC,5,5,20240115,20240115,20240115
1783,60014401,80018083,20240115,2024-01-11,2017-12-11,2660000.0,2017-12-17,2221.0,0.0,27000.0,0.0,27000.0,27000.0,RYC,5,5,20240115,20240115,20240115
1786,60014401,80019281,20240115,2024-01-15,2017-12-29,5748000.0,2018-01-12,2195.0,0.0,65000.0,0.0,65000.0,65000.0,RYC,5,5,20240115,20240115,20240115
1789,60014401,80019281,20240126,2024-01-16,2017-12-29,1520000.0,2018-01-12,2206.0,0.0,15000.0,0.0,15000.0,15000.0,RYC,5,5,20240126,20240126,20240126
1790,60014401,80019617,20240126,2024-01-18,2018-01-19,644000.0,2018-01-25,2193.0,0.0,13000.0,0.0,13000.0,13000.0,RYC,5,5,20240126,20240126,20240126
1791,60014408,80009047,20240126,2024-01-22,2017-01-03,4157000.0,2017-01-05,2578.0,0.0,43000.0,0.0,43000.0,43000.0,RYC,5,5,20240126,20240126,20240126
1793,60014424,80009331,20240126,2024-01-16,2017-01-17,3843000.0,2017-02-06,2546.0,0.0,77000.0,0.0,77000.0,77000.0,RYC,5,5,20240126,20240126,20240126
1796,60014424,80131929,20240115,2024-01-12,2023-01-18,33018000.0,2023-02-08,342.0,0.0,3178000.0,0.0,3178000.0,3178000.0,RYC,5,5,20240115,20240115,20240115
1799,60014465,80032571,20240115,2024-01-09,2018-11-08,1000000.0,2018-11-13,1890.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240115,20240115,20240115
1801,60014465,80032591,20240115,2024-01-09,2018-11-09,1000000.0,2018-11-13,1890.0,0.0,13000.0,0.0,13000.0,13000.0,RYC,5,5,20240115,20240115,20240115
1803,60014474,80026705,20240115,2024-01-11,2018-07-25,2485000.0,2018-08-03,1992.0,0.0,25000.0,0.0,25000.0,25000.0,RYC,5,5,20240115,20240115,20240115
1804,60014534,80036548,20240115,2024-01-07,2019-01-08,12381000.0,2019-01-20,1822.0,0.0,143000.0,0.0,143000.0,143000.0,RYC,5,5,20240115,20240115,20240115
1808,60014549,80072132,20240126,2024-01-19,2021-01-19,10000000.0,2021-01-29,1093.0,0.0,600000.0,0.0,600000.0,600000.0,RYC,5,5,20240126,20240126,20240126
1812,60014549,80072300,20240126,2024-01-22,2021-01-22,164000.0,2021-02-24,1067.0,0.0,10000.0,0.0,10000.0,10000.0,RYC,5,5,20240126,20240126,20240126
1815,60014549,80100364,20240126,2024-01-22,2021-12-29,35000000.0,2022-01-12,745.0,0.0,2371000.0,0.0,2371000.0,2371000.0,RYC,5,5,20240126,20240126,20240126
1824,60014557,80026177,20240115,2024-01-08,2018-07-11,1411000.0,2018-07-23,2003.0,0.0,14000.0,0.0,14000.0,14000.0,RYC,5,5,20240115,20240115,20240115
1825,60014557,80026177,20240126,2024-01-16,2018-07-11,4921000.0,2018-07-23,2014.0,0.0,49000.0,0.0,49000.0,49000.0,RYC,5,5,20240126,20240126,20240126
1826,60014569,80026471,20240126,2024-01-18,2018-07-24,2733000.0,2018-08-05,2001.0,0.0,27000.0,0.0,27000.0,27000.0,RYC,5,5,20240126,20240126,20240126
1829,60014569,80026471,20240126,2024-01-20,2018-07-24,444000.0,2018-08-05,2001.0,0.0,9000.0,0.0,9000.0,9000.0,RYC,5,5,20240126,20240126,20240126
1832,60014569,80026471,20240126,2024-01-22,2018-07-24,1335000.0,2018-08-05,2001.0,0.0,13000.0,0.0,13000.0,13000.0,RYC,5,5,20240126,20240126,20240126
1835,60014569,80068586,20240115,2024-01-05,2020-12-09,5002000.0,2020-12-22,1120.0,0.0,300000.0,0.0,300000.0,300000.0,RYC,5,5,20240115,20240115,20240115
1839,60014569,80115448,20240126,2024-01-17,2022-07-25,4015000.0,2022-08-10,535.0,0.0,381000.0,0.0,381000.0,381000.0,RYC,5,5,20240126,20240126,20240126
1843,60014569,80115452,20240126,2024-01-17,2022-07-25,6040000.0,2022-08-10,535.0,0.0,564000.0,0.0,564000.0,564000.0,RYC,5,5,20240126,20240126,20240126
1850,60014571,80055490,20240115,2024-01-09,2020-02-05,13364000.0,2020-02-11,1435.0,0.0,535000.0,0.0,535000.0,535000.0,RYC,5,5,20240115,20240115,20240115
1852,60014571,80055490,20240115,2024-01-11,2020-02-05,1682000.0,2020-02-11,1435.0,0.0,34000.0,0.0,34000.0,34000.0,RYC,5,5,20240115,20240115,20240115
1854,60014571,80125084,20240115,2024-01-10,2022-11-14,16234000.0,2022-11-23,419.0,0.0,1628000.0,0.0,1628000.0,1628000.0,RYC,5,5,20240115,20240115,20240115
1859,60014571,80125264,20240115,2024-01-05,2022-11-29,20291000.0,2022-12-05,407.0,0.0,1954000.0,0.0,1954000.0,1954000.0,RYC,5,5,20240115,20240115,20240115
