,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
1375,60012081,80132955,URA5,1,Rider
1376,60012081,80132955,URC5,1,Rider
1377,60012081,80132955,RHB1,1,Rider
1378,60045305,80131624,UL05,1,Base
1379,60045305,80131624,URC5,1,Rider
1380,60045305,80131624,RHS1,1,Rider
1381,60045305,80131624,URA5,1,Rider
1382,60045305,80131624,RHB1,1,Rider
1383,60055929,80131444,UL05,1,Base
1384,60055929,80131444,URA5,1,Rider
1385,60055929,80131444,URC6,1,Rider
1386,60055929,80131444,RHB1,1,Rider
1387,60055929,80131444,URC5,1,Rider
1388,60074758,80131729,UL05,1,Base
1389,60074758,80131729,URC5,1,Rider
1390,60074758,80131729,URA5,1,Rider
1391,60075407,80131972,URA5,1,Rider
1392,60075407,80131972,UL05,1,Base
1393,60075407,80131972,URC5,1,Rider
1394,60071278,80132048,URA5,1,Rider
1395,60071278,80132048,URC5,1,Rider
1396,60071278,80132048,URC6,1,Rider
1397,60071278,80132048,UL05,1,Base
1398,60071603,80132066,URA5,1,Rider
1399,60071603,80132066,RHB1,1,Rider
1400,60071603,80132066,UL05,1,Base
1401,60071603,80132066,URC5,1,Rider
1402,60071346,80132137,RHB1,1,Rider
1403,60071346,80132137,UL05,1,Base
1404,60075954,80132876,RHB1,1,Rider
1405,60075954,80132876,URC6,1,Rider
1406,60075954,80132876,URC5,1,Rider
1407,60075954,80132876,URA5,1,Rider
1408,60075954,80132876,UL05,1,Base
1409,60075954,80132876,RHS1,1,Rider
1410,60076102,80132894,UL05,1,Base
1411,60076102,80132894,URA5,1,Rider
1412,60072567,80132682,UL05,1,Base
1413,60072567,80132682,URC6,1,Rider
1414,60072567,80132682,RHB1,1,Rider
1415,60072567,80132682,URC5,1,Rider
1416,60072567,80132682,URA5,1,Rider
1417,60076108,80132962,RHB1,1,Rider
1418,60076108,80132962,URA5,1,Rider
1419,60076108,80132962,UL05,1,Base
1420,60075881,80132090,UL06,1,Base
1421,60074813,80132459,URC6,1,Rider
1422,60074813,80132459,URT5,1,Rider
1423,60074813,80132459,URC5,1,Rider
1424,60074813,80132459,RHB1,1,Rider
1425,60074813,80132459,URA5,1,Rider
1426,60074813,80132459,UL05,1,Base
1427,60074813,80132459,RHS1,1,Rider
1428,60074813,80132459,URW5,1,Rider
1429,60071731,80133002,URA5,1,Rider
1430,60071731,80133002,UL05,1,Base
